salary,"height, cm","weight, kg",game_started,mins,sub_on,total_wins,goals,duel_won,accurate_cross,assist,yellow_card,won_tackle,aerial_won,ontarget_scoring_att,successful_short_pass,won_corners,ball_recovery,total_offside
105000,183,73,1,147,7,5,0,9,0,0,1,1,6,0,34,0,2,0
1110000,180,73,30,2659,2,13,3,154,5,3,5,41,64,15,902,15,150,8
955000,175,68,22,2026,7,15,11,104,2,5,1,7,44,26,432,12,52,4
498750,178,77,26,2310,1,11,0,100,40,6,6,27,30,2,735,9,137,0
308700,178,81,14,1384,18,13,1,69,8,3,2,23,14,3,471,9,101,0
321875,191,75,4,360,0,0,0,1,0,0,0,0,1,0,36,0,42,0
69037,188,72,0,37,4,0,0,3,0,0,0,2,0,0,21,0,4,0
250000,175,68,5,504,5,8,0,25,4,1,1,9,6,0,143,2,27,0
84000,180,75,2,205,8,4,0,15,1,1,2,7,1,0,82,1,17,1
450770,193,82,10,947,9,9,4,110,3,2,0,10,54,10,107,8,36,8
819250,178,72,29,2560,0,12,0,125,26,2,2,27,30,2,954,21,216,0
85444,185,73,1,99,2,0,0,2,0,0,0,0,2,0,16,0,2,1
375000,187,73,33,2970,0,17,0,5,0,1,1,0,2,0,381,0,284,0
591250,178,70,20,1637,7,14,3,47,13,4,1,12,9,5,450,13,70,3
225000,178,72,21,1754,8,11,0,127,3,0,2,34,28,0,635,7,122,2
3350000,175,71,20,1705,7,10,3,109,4,7,3,8,9,9,529,17,89,1
469132,170,64,7,561,3,1,1,43,1,0,2,9,7,4,203,3,47,0
85444,186,82,1,94,2,1,0,7,0,0,0,2,3,1,51,0,7,0
353437,183,77,27,2279,3,19,2,141,2,0,7,29,38,3,1192,3,190,0
554000,185,79,31,2746,0,12,3,107,1,0,7,15,51,4,1448,2,192,0
475000,183,70,6,509,8,6,0,23,0,0,2,6,6,0,301,0,55,0
200000,188,80,7,585,0,2,0,4,0,0,0,0,2,0,84,0,54,0
725000,170,87,30,2537,0,16,0,75,68,12,9,18,8,4,1285,10,176,0
593364,176,76,2,139,3,1,1,13,0,0,0,3,1,3,62,1,7,0
737500,188,84,25,2295,1,11,1,133,1,1,1,26,62,3,1226,3,155,0
167500,188,84,15,1350,0,6,0,6,0,0,0,0,5,0,204,0,148,0
93000,168,61,6,657,10,8,2,57,0,0,1,7,5,4,186,0,33,0
1023750,178,69,21,1836,5,9,3,90,17,5,0,12,15,6,885,18,95,3
1198000,185,70,5,444,10,6,2,40,0,0,0,4,5,5,117,3,17,3
147800,193,88,11,990,0,3,0,7,0,0,1,0,2,0,136,0,98,0
585000,178,75,26,2229,5,8,2,152,20,2,3,32,14,14,657,19,132,2
2222854,161,61,30,2695,1,4,7,215,29,10,6,24,6,24,1112,28,162,8
109292,168,75,12,1254,9,5,0,63,1,0,6,21,10,1,526,5,62,0
500000,191,89,17,1529,0,9,0,7,0,0,1,0,4,0,244,0,119,0
