salary,"height, cm","weight, kg",game_started,mins,sub_on,total_wins,goals,duel_won,accurate_cross,assist,yellow_card,won_tackle,aerial_won,ontarget_scoring_att,successful_short_pass,won_corners,ball_recovery,total_offside
300000,185,84,33,2970,0,10,0,17,0,1,2,1,11,0,390,0,288,0
520000,175,69,9,778,7,5,0,80,1,0,1,17,15,2,243,1,55,0
700000,184,75,25,2165,1,11,2,116,0,0,6,23,43,6,850,0,134,3
330000,175,66,25,2220,5,8,0,136,2,0,2,25,63,1,832,5,131,0
456000,180,84,23,1928,4,10,12,93,2,5,2,5,60,23,278,6,41,22
66724,188,88,12,966,2,8,0,41,0,0,1,14,12,2,340,1,61,0
739063,188,84,34,3060,0,14,3,142,1,2,7,25,69,5,911,7,187,0
84000,188,82,1,90,0,0,1,4,0,0,0,0,4,1,44,0,6,0
952496,181,82,21,1814,2,10,9,86,2,5,1,21,12,23,450,15,92,8
160833,185,77,18,1620,0,7,0,10,0,0,0,0,10,0,278,0,144,0
435000,170,68,12,1302,15,13,7,62,1,2,1,10,8,16,190,20,30,16
155000,175,72,13,1261,14,8,3,53,6,1,1,7,13,9,172,12,34,6
438750,174,70,26,2310,7,12,1,137,0,1,4,24,14,2,710,3,129,1
133095,170,70,2,250,2,1,0,13,1,1,0,1,2,2,40,1,8,0
66724,170,75,0,32,5,2,0,1,0,0,0,0,0,0,16,0,3,0
69474,172,71,15,1228,10,10,1,89,10,1,0,18,11,11,238,14,82,0
550000,185,79,15,1309,2,4,1,39,1,0,1,9,18,1,602,0,81,0
240000,178,73,13,1203,12,5,0,56,5,2,4,12,11,1,453,0,103,1
1076000,178,70,32,2760,0,14,19,207,1,8,9,18,94,57,490,25,66,24
137000,190,88,6,507,0,1,0,1,0,0,1,0,1,0,16,0,43,0
97481,180,79,19,1731,6,9,0,107,9,5,4,40,27,2,526,14,111,2
89716,188,86,5,450,0,2,0,6,0,0,0,1,4,0,54,0,36,0
292887,188,87,24,2131,0,5,0,7,0,0,3,0,5,0,390,0,154,0
1212504,192,88,29,2654,5,14,12,137,5,4,2,9,79,31,537,14,90,15
110000,176,73,15,1471,14,14,7,98,6,6,1,19,21,26,393,12,82,5
89195,175,80,7,575,4,2,1,35,0,2,3,8,7,1,255,0,47,0
310935,173,66,18,1570,13,5,2,78,18,2,3,15,14,21,412,19,74,4
558000,190,82,10,893,4,6,7,27,1,0,1,5,8,14,96,7,10,3
1499000,173,68,26,2251,1,6,8,104,30,9,1,30,2,24,729,16,128,1
225000,168,68,4,376,8,6,2,14,9,4,0,4,3,2,133,4,17,0
